Property_type,Description,Location,Price,Features
Casa en venta,Casa Campestre En Venta En Piedecuesta Condominio Campestre Terrazas De Mesuli,"Piedecuesta, Santander",1100000000 pesos,"['288 m² cubiertos', '4 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Lagos Del Cacique,"12 De Octubre, Bucaramanga, Santander",1600000000 pesos,"['380 m² cubiertos', '4 habs.']"
Casa en venta,Casa En Venta En Bucaramanga Fontana,"12 De Octubre, Bucaramanga, Santander",430000000 pesos,"['140 m² cubiertos', '4 habs.']"
Apartamento en venta,"Un Lujo Sólo Para Quien Pueda Dárselo, 524 M2","Altos De Cabecera, Bucaramanga, Santander",2900000000 pesos,"['524 m² cubiertos', '4 habs.']"
Finca en venta,Venta Finca En Barichara - Productiva Los Gaques,"Zona Rural, Barichara, Santander",660000000 pesos,"['55,000 m² cubiertos', '2 habs.']"
Casa en venta,Casa Altos Del Jardin,"Altos Del Jardin, Bucaramanga, Santander",680000000 pesos,"['199 m² cubiertos', '4 habs.']"
Casa en venta,Vendo excelente Casa Condominio Bosques De Normandia- Piedecuesta,"Piedecuesta, Santander",980000000 pesos,"['369 m² cubiertos', '4 habs.']"
Apartamento en venta,Balcones De Buenos Aires Piedecuesta,"Balcones De Buenos Aires, Piedecuesta, Santander",130000000 pesos,"['61 m² cubiertos', '3 habs.']"
Finca en venta,Finca En Venta En Barichara Barichara Vereda Centro,"Barichara, Santander",6000000000 pesos,"['125,169 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En Parque San Agustin,"Palomitas, Floridablanca, Santander",175000000 pesos,"['72 m² cubiertos', '3 habs.']"
Apartamento en venta,Arriendo O Vendo  apartamento Condominio Ventus- Cañaveral,"Floridablanca, Santander",475000000 pesos,"['100 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Palomitas,"Floridablanca, Santander",210000000 pesos,"['80 m² cubiertos', '2 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Villabel,"Floridablanca, Santander",135000000 pesos,"['67 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Mutis,"Ciudadela Real De Minas, Bucaramanga, Santander",168000000 pesos,"['1 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Alonso,"San Alonso, Bucaramanga, Santander",245000000 pesos,"['89 m² cubiertos', '3 habs.']"
Casa en venta,Casa Lote En  El Barrio Delicias Bajas,"Delicias Bajas, Bucaramanga, Santander",300000000 pesos,"['60 m² cubiertos', '2 habs.']"
Casa en venta,Casa En Venta En Floridablanca La Cumbre,"Floridablanca, Santander",200000000 pesos,"['150 m² cubiertos', '9 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Centro,"12 De Octubre, Bucaramanga, Santander",195000000 pesos,"['105 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Bucaramanga San Alonso,"12 De Octubre, Bucaramanga, Santander",180000000 pesos,"['80 m² cubiertos', '3 habs.']"
Apartamento en venta,Apartamento En Venta En Floridablanca Santa Ana,"Floridablanca, Santander",95000000 pesos,"['55 m² cubiertos', '2 habs.']"
Finca en venta,En Venta Parcela Con Cultivos  Floridablanca Stder,"Cerro Del Santísimo, Floridablanca, Santander",580000000 pesos,"['120 m² cubiertos', '5 habs.']"
Casa en venta,Venta Casa Antigua Barichara,"Centro Historico, Barichara, Santander",850000000 pesos,"['320 m² cubiertos', '5 habs.']"
Lote y casalote en venta,Vendo Lote Pradera Caraquitas Barichara 2.626 M2,"Zona Periferica De Barichara Entre 1 - 3 Km, Barichara, Santander",100000000 pesos,"['2,626 m² totales']"
Apartamento en venta,Apartamento En Venta En Bucaramanga Conjunto Samanes V,"12 De Octubre, Bucaramanga, Santander",165000000 pesos,"['70 m² cubiertos', '3 habs.']"
Casa en venta,Casa En Venta En Floridablanca Cañaveral,"Floridablanca, Santander",700000000 pesos,"['161 m² cubiertos', '3 habs.']"
Casa en venta,Venta Casa En Barichara - La Plazuela,"Centro Historico, Barichara, Santander",950000000 pesos,"['230 m² cubiertos', '4 habs.']"
Casa en venta,Vendo  Linda Parcela Ubicada En Ruitoque Tres Esquinas,"Carrera Carrera 32 Sn, Piedecuesta, Santander",580000000 pesos,"['900 m² cubiertos', '5 habs.']"
Apartamento en venta,Edificio Centauros De Santacruz,"Santa Cruz, Girón, Santander",108000000 pesos,"['46 m² cubiertos', '2 habs.']"
Apartamento en venta,Se Vende Apartamento En Conjunto Los Trinitarios,"Autopista Floridablanca, Floridablanca, Santander",170000000 pesos,"['78 m² cubiertos', '3 habs.']"
